date,source,title,description,url,compound,pos,neg,neu,query
2026-03-11,Breitbart News,"Whoops! Ending Nuclear Power May Have Been a Mistake After All, Says EU Chief","Europe's mad dash to decommission its nuclear power plants was a ""strategic mistake"", Commission boss Ursula von der Leyen has admitted.
The post Whoops! Ending Nuclear Power May Have Been a Mistake After All, Says EU Chief appeared first on Breitbart.",https://www.breitbart.com/europe/2026/03/11/whoops-ending-nuclear-power-may-have-been-a-mistake-after-all-says-eu-chief/,-0.8619,0.022,0.176,0.801,"""energy market"" AND (Spain OR Portugal OR Iberia)"
2026-03-20,Irishtimes.comhttps,Spain says the sun shields it from rising energy costs. Is that true?,"Prime minister says Spain is less at risk because it has shifted so quickly to renewable energy such as solar, wind and hydroelectric power",https://www.irishtimes.comhttps://www.nytimes.com/2026/03/20/world/europe/spain-iran-energy-renewables-gas-sun.html,0.6948,0.202,0.043,0.755,"""energy market"" AND (Spain OR Portugal OR Iberia)"
2026-03-19,The Irish Times,European leaders say they will not be drawn into Iran war,Fears new strikes on Gulf oil and gas production sites could do ‘lasting’ damage to energy supply,https://www.irishtimes.com/world/middle-east/2026/03/19/european-leaders-say-they-will-not-be-drawn-into-iran-war/,-0.8834,0.056,0.331,0.613,"""energy market"" AND (Spain OR Portugal OR Iberia)"
2026-03-22,The National,Dependency on oil is ludicrous with Scotland's green jackpot,Dependency on oil is ludicrous with Scotland's green jackpotthenational.scot,https://www.thenational.scot/business/25957356.dependency-oil-ludicrous-scotlands-green-jackpot/,-0.6124,0.0,0.238,0.762,"""energy market"" AND (Spain OR Portugal OR Iberia)"
2026-03-23,The Star Online,"Economic Watch: From oil shocks to grocery bills, Europe feels pinch of Mideast tensions","BRUSSELS, March 23 (Xinhua) -- After years of sluggish growth, Europe entered 2026 hoping for a turnaround. But escalating tensions in the Middle East have sent oil and gas prices on a wild ride, threatening to derail that recovery. Read full story",https://www.thestar.com.my/news/world/2026/03/24/economic-watch-from-oil-shocks-to-grocery-bills-europe-feels-pinch-of-mideast-tensions,-0.9144,0.054,0.241,0.704,"""energy market"" AND (Spain OR Portugal OR Iberia)"
2026-03-16,NPR,Oil and gas prices are soaring. Some countries are ready with solar panels and EVs,"As an energy crisis grows, some countries are more prepared because of renewable energy and electric vehicles. Pakistan reduced its reliance on imported natural gas because of the growth of solar.",https://www.npr.org/2026/03/16/nx-s1-5732984/energy-iran-war-solar-pakistan-crisis-renewable-evs,0.8016,0.266,0.071,0.662,"""natural gas"" AND (TTF OR price OR Europe)"
2026-03-03,The Verge,What Trump’s war on Iran means for the US energy crunch,"Fuel prices surged after the Trump administration launched strikes against Iran on Saturday, immediately raising questions about whether the war would increase energy costs for Americans, put more pressure on power grids, and push companies to pump out more o…",https://www.theverge.com/science/888526/what-trumps-war-on-iran-means-for-the-us-energy-crunch,-0.7778,0.125,0.201,0.674,"""natural gas"" AND (TTF OR price OR Europe)"
2026-03-19,Gizmodo.com,"Higher Oil Prices From Trump’s Iran War Risk Killing the AI Boom, WTO Says",President Deals seems to be setting the global economy on fire.,https://gizmodo.com/higher-oil-prices-from-trumps-iran-war-risk-killing-the-ai-boom-wto-says-2000735678,-0.9153,0.0,0.379,0.621,"""natural gas"" AND (TTF OR price OR Europe)"
2026-03-20,NPR,Cuba readies for first Russian oil shipment of the year as energy crisis deepens,"Cuba is preparing to receive its first shipment of Russian oil this year, just days after the government announced it was operating on natural gas, solar power and thermoelectric plants as severe power outages continue to hit it.",https://www.npr.org/2026/03/20/g-s1-114535/cuba-readies-for-first-russian-oil-shipment-of-the-year-as-energy-crisis-deepens,-0.4767,0.078,0.113,0.809,"""natural gas"" AND (TTF OR price OR Europe)"
2026-03-23,Scientific American,Iran attack on Qatar’s liquid natural gas trains has global energy consequences,Why the destruction of Qatar’s liquid natural gas “trains” by Iranian attacks will have global consequences,https://www.scientificamerican.com/article/iran-attack-on-qatars-liquid-natural-gas-trains-has-global-energy/,-0.5574,0.183,0.25,0.567,"""natural gas"" AND (TTF OR price OR Europe)"
2026-03-11,Gizmodo.com,Former Climate Hero Wins Permit for 41 Gas Turbines in Mississippi,xAI can power data centers at the cost of greenhouse gas pollution. Elon Musk used to speak out against this sort of thing.,https://gizmodo.com/former-climate-hero-wins-permit-for-41-gas-turbines-in-mississippi-2000732189,0.8074,0.186,0.0,0.814,"""natural gas"" AND (TTF OR price OR Europe)"
2026-03-02,Yahoo Entertainment,3 Oil Pipeline Stocks Capitalizing on Solid Industry Fundamentals,"Midstream players will secure additional cashflows from rising clean energy demand from data centers, which brightens the outlook for the Zacks Oil and Gas -...",https://finance.yahoo.com/news/3-oil-pipeline-stocks-capitalizing-153700257.html,0.8316,0.277,0.037,0.686,"""natural gas"" AND (TTF OR price OR Europe)"
2026-03-11,Business Insider,Map shows gas prices have risen above $3 a gallon in every US state — the first time since 2023,"The Iran war has pushed gas prices up across the US. For the first time since 2023, no state has an average price below $3 a gallon, per AAA.",https://www.businessinsider.com/gas-prices-map-us-states-2026-3,-0.7269,0.0,0.115,0.885,"""natural gas"" AND (TTF OR price OR Europe)"
2026-03-11,Business Insider,Oil's price spike is bad news for power-hungry AI,"AI data centers use far more electricity than traditional servers, driven by power-hungry GPUs and advanced cooling systems.",https://www.businessinsider.com/oil-price-spike-impact-electricity-power-ai-semiconductor-chips-fab-2026-3,-0.0772,0.132,0.11,0.757,"""natural gas"" AND (TTF OR price OR Europe)"
2026-03-03,Business Insider,America's average gas price saw its largest single-day jump in 4 years,Consumers in 49 of the 50 states woke up to higher prices at the gas pump on Tuesday as attacks in the Middle East spur fears of supply disruptions.,https://www.businessinsider.com/average-gas-price-largest-single-day-jump-iran-attacks-2026-3,-0.7964,0.0,0.176,0.824,"""natural gas"" AND (TTF OR price OR Europe)"
2026-03-19,Abcnews.com,Oil and gas prices surge as Iran escalates strikes on Gulf refineries,"Iran on Wednesday and Thursday released retaliatory strikes on energy sites in several Gulf countries, following Israel's attack on a major Iranian gas field.",https://abcnews.com/Business/oil-gas-prices-surge-iran-escalates-strikes-gulf/story?id=131211099,-0.5423,0.105,0.185,0.709,"""natural gas"" AND (TTF OR price OR Europe)"
2026-03-19,Business Insider,What smart people are saying about oil's latest spike to nearly $120 a barrel,"After Brent crude surged 11% to levels last seen in 2022, energy gurus warned of more volatility, shipping chaos, pricier food, and economic pain.",https://www.businessinsider.com/oil-price-shock-iran-qatar-lng-gas-smart-people-krugman-2026-3,-0.7943,0.137,0.256,0.607,"""natural gas"" AND (TTF OR price OR Europe)"
2026-03-03,Al Jazeera English,"India, Europe feel fuel crunch as Gulf gas supplies disrupted amid war",India and Europe bear the brunt of soaring prices as Qatar halts its liquefied natural gas production.,https://www.aljazeera.com/news/2026/3/3/india-europe-feel-fuel-crunch-as-gulf-gas-supplies-disrupted-amid-war,-0.34,0.075,0.117,0.808,"""natural gas"" AND (TTF OR price OR Europe)"
2026-03-06,Business Insider,"US gas prices climb to the highest point in Trump's second term. He says, 'If they rise, they rise.'","The average American paid $3.32 for a gallon of regular gas on Friday, according to AAA. That's the highest since August 2024.",https://www.businessinsider.com/us-gas-prices-climb-highest-trumps-term-oil-iran-2026-3,0.0,0.0,0.0,1.0,"""natural gas"" AND (TTF OR price OR Europe)"
2026-03-02,Abcnews.com,Oil prices surge as Strait of Hormuz tanker disruptions rattle global supply,Oil prices have jumped as tanker disruptions near the Strait of Hormuz raise fears about supply shortages from the Persian Gulf,https://abcnews.com/Business/wireStory/oil-prices-surge-strait-hormuz-tanker-disruptions-rattle-130670290,-0.6908,0.063,0.232,0.705,"""natural gas"" AND (TTF OR price OR Europe)"
2026-03-18,New Scientist,Will war in the Middle East accelerate the clean energy transition?,"Disruption to shipping traffic through the Strait of Hormuz has led to a spike in oil and natural gas prices, which could spur countries to boost the rollout of renewable energy and electric vehicles",https://www.newscientist.com/article/2519862-will-war-in-the-middle-east-accelerate-the-clean-energy-transition/,0.7351,0.269,0.11,0.621,"""natural gas"" AND (TTF OR price OR Europe)"
2026-03-09,Yahoo Entertainment,Oil price tops $100 a barrel as Iran war rattles commodity markets,The price of oil hit its highest level since the outbreak of the war in Ukraine,https://uk.finance.yahoo.com/news/oil-prices-trump-iran-israel-gold-pound-dollar-093225057.html,-0.6705,0.091,0.216,0.693,"""natural gas"" AND (TTF OR price OR Europe)"
2026-03-19,Business Insider,Ranked: The 20 US states where gas prices are rising the most,Gas prices are surging across the US as the Iran war disrupts oil supply. See the 20 states where prices are rising fastest.,https://www.businessinsider.com/states-where-gas-prices-are-rising-most-iran-war-2026-3,-0.5994,0.0,0.103,0.897,"""natural gas"" AND (TTF OR price OR Europe)"
2026-03-02,Yahoo Entertainment,"Stocks enter global selloff, but some on Wall Street are looking for assets that respond well to war",Wells Fargo’s Ohsung Kwon argued that traders should buy the dip.,https://finance.yahoo.com/news/stocks-enter-global-selloff-wall-104200415.html,-0.5267,0.181,0.216,0.603,"""natural gas"" AND (TTF OR price OR Europe)"
2026-03-18,Business Insider,"Here's what to know about the Jones Act, a century-old shipping law Trump is waiving to shield Americans from surging oil prices",The Trump administration's move to waive the Jones Act for 60 days is meant to dull the impact of Iran-war disruptions. Here's how that works.,https://www.businessinsider.com/jones-act-trump-oil-prices-iran-economy-gas-geopolitics-2026-3,-0.6249,0.0,0.102,0.898,"""natural gas"" AND (TTF OR price OR Europe)"
2026-03-11,NPR,Countries agree to historic release of stockpiled oil to ease the global shortage,Members of the International Energy Agency have announced a coordinated release of 400 million barrels of stockpiled oil in an attempt to counter the disruption in oil trade triggered by the Iran war.,https://www.npr.org/2026/03/11/nx-s1-5743816/iran-war-oil-reserves-iea,-0.6249,0.085,0.179,0.737,"""natural gas"" AND (TTF OR price OR Europe)"
2026-03-02,Business Insider,"From Iran to Venezuela to New York, Trump wants to control the world's oil",Forget Saudi Arabia. Trump is making America the world's most dominant petrostate.,https://www.businessinsider.com/trump-energy-dominance-oil-iran-venezuela-2026-2,-0.2263,0.0,0.071,0.929,"""natural gas"" AND (TTF OR price OR Europe)"
2026-03-19,Al Jazeera English,Iran’s strike on Qatar gas facility will reduce supply for 3 to 5 years,Iran’s strike on Qatar’s Ras Laffan gas facility will cut about 17% of the country’s Liquefied Natural Gas exports.,https://www.aljazeera.com/video/newsfeed/2026/3/19/irans-strike-on-qatar-gas-facility-will-reduce-supply-for-3-to-5-years,-0.1531,0.068,0.139,0.792,"""natural gas"" AND (TTF OR price OR Europe)"
2026-03-20,Business Insider,One of the world's biggest energy groups is telling people to work from home as oil prices soar,"The IEA has issued 10 measures for governments, businesses, and households to take immediately to save fuel.",https://www.businessinsider.com/iea-telling-people-work-from-home-as-oil-prices-soar-2026-3,0.7964,0.202,0.0,0.798,"""natural gas"" AND (TTF OR price OR Europe)"
2026-03-30,Business Insider,5 of tech's biggest names have together seen nearly $200 billion wiped off their fortunes this year as AI fever cools,"Oracle's Larry Ellison, Amazon's Jeff Bezos, and Meta's Mark Zuckerberg have seen their fortunes shrink as stocks have faltered.",https://www.businessinsider.com/big-tech-billionaires-wealth-ai-stocks-zuck-bezos-ellison-iran-2026-3,0.0,0.0,0.0,1.0,"""natural gas"" AND (TTF OR price OR Europe)"
2026-03-14,NPR,"Russian strike on Kyiv region kills 4 and wounds 15, with peace talks stalled",The strikes comes after the United States paused ceasefire talks between Russia and Ukraine due to the war with Iran.,https://www.npr.org/2026/03/14/nx-s1-5747959/russian-strike-kyiv-region,-0.7096,0.135,0.284,0.581,"""natural gas"" AND (TTF OR price OR Europe)"
2026-03-20,Vox,Why the US wants to protect Iran’s oil and gas,"The Trump administration’s rhetoric on the war in Iran tends to be heavy on words like “lethality” and “obliteration,” so it was notable that the president seemed almost apologetic on Wednesday, when discussing an Israeli strike on Iran’s South Pars gas field…",https://www.vox.com/politics/483440/pars-iran-qatar-oil-gas-hormuz,-0.0772,0.087,0.092,0.821,"""natural gas"" AND (TTF OR price OR Europe)"
2026-03-26,Business Insider,"From panic buying in Chile to $8 gas in California, photos show how people around the world are grappling with a growing energy crisis",Energy costs are rising globally due to the closure of the Strait of Hormuz during the Iran war. Other supply chains could also be in peril.,https://www.businessinsider.com/iran-war-gas-prices-energy-crisis-photos-2026-3,-0.8779,0.094,0.223,0.684,"""natural gas"" AND (TTF OR price OR Europe)"
2026-03-21,Al Jazeera English,EU urges members to start storing winter gas as Iran war causes price surge,"War, which saw Iran attack Qatar facility, has caused 'high, volatile' gas prices that could hit EU storage projections.",https://www.aljazeera.com/news/2026/3/21/eu-urges-members-to-start-storing-winter-gas-as-iran-war-causes-price-surge,-0.8658,0.059,0.286,0.656,"""natural gas"" AND (TTF OR price OR Europe)"
2026-03-11,Yahoo Entertainment,Analysis: Iran war becomes a contest of who can take the most pain,"The war with Iran, for all its complexity and global effects, boils down to a single question: Who can take the pain the longest?  A surge in oil prices...",https://www.yahoo.com/news/articles/analysis-iran-war-becomes-contest-090335857.html,-0.9254,0.046,0.275,0.679,"""natural gas"" AND (TTF OR price OR Europe)"
2026-03-23,Al Jazeera English,Why the oil and gas price shock from the Iran war won’t just fade away,Rerouting and diversification cannot help when a significant chunk of oil and gas have been taken off the market.,https://www.aljazeera.com/opinions/2026/3/23/why-the-oil-and-gas-price-shock-from-the-iran-war-wont-just-fade-away,-0.7881,0.044,0.216,0.74,"""natural gas"" AND (TTF OR price OR Europe)"
2026-03-19,The Atlantic,Trump Is Kicking the Economy While It’s Down,How the war with Iran could lead to a recession,https://www.theatlantic.com/podcasts/2026/03/trump-is-kicking-the-economy-while-its-down/686446/,-0.7717,0.0,0.295,0.705,"""natural gas"" AND (TTF OR price OR Europe)"
2026-03-03,The Wall Street Journal,European Gas Prices Soar After Qatar LNG Halt Jolts Market,Prices rose nearly 40% after a production halt at the world’s largest liquefied-natural-gas export facility stoked concerns over global supply.,https://www.wsj.com/business/energy-oil/european-gas-prices-soar-after-qatar-lng-halt-jolts-market-f37e8e16,0.4215,0.088,0.0,0.912,"""natural gas"" AND (TTF OR price OR Europe)"
2026-03-02,Al Jazeera English,Iran says will attack any ship trying to pass through Strait of Hormuz,"Ebrahim Jabari, a senior adviser to the IRGC's commander-in-chief, reiterates that the Strait of Hormuz is 'closed'.",https://www.aljazeera.com/news/2026/3/2/iran-says-will-attack-any-ship-trying-to-pass-through-strait-of-hormuz,-0.4767,0.0,0.097,0.903,"""natural gas"" AND (TTF OR price OR Europe)"
2026-03-24,Al Jazeera English,Are Middle East attacks pushing Asia towards an energy crisis?,"Energy facilities in the Middle East are under attack, including Qatar's LNG, pushing prices higher.",https://www.aljazeera.com/video/counting-the-cost/2026/3/24/are-middle-east-attacks-pushing-asia-towards-an-energy-crisis,-0.7845,0.122,0.294,0.583,"""natural gas"" AND (TTF OR price OR Europe)"
2026-03-25,Al Jazeera English,Are Middle East attacks pushing Asia towards an energy crisis?,"Energy facilities in the Middle East are under attack, including Qatar's LNG, pushing prices higher.",https://www.aljazeera.com/video/counting-the-cost/2026/3/25/are-middle-east-attacks-pushing-asia-towards-an-energy-crisis,-0.7845,0.122,0.294,0.583,"""natural gas"" AND (TTF OR price OR Europe)"
2026-03-24,Al Jazeera English,QatarEnergy declares force majeure on some LNG contracts,"Move comes amid production disruptions linked to the US-Israeli war on Iran, which have affected the Gulf country.",https://www.aljazeera.com/news/2026/3/24/qatarenergy-declares-force-majeure-on-some-lng-contracts,-0.7845,0.0,0.256,0.744,"""natural gas"" AND (TTF OR price OR Europe)"
2026-03-19,Al Jazeera English,"Why are Iran’s South Pars gasfield, Qatar’s Ras Laffan, so significant?","Israel's strike on South Pars and Iran's attack on Ras Laffan escalate energy crisis, deepen regional tensions.",https://www.aljazeera.com/economy/2026/3/19/why-are-irans-south-pars-gasfield-qatars-ras-laffan-so-significant,-0.8019,0.117,0.306,0.577,"""natural gas"" AND (TTF OR price OR Europe)"
2026-03-09,Al Jazeera English,"Putin says Russia can supply oil, gas to Europe as energy prices soar","Russian president spoke as oil prices surged past $100 per barrel, reaching levels unseen since start of Ukraine war.",https://www.aljazeera.com/news/2026/3/9/putin-says-russia-can-supply-oil-gas-to-europe-amid-global-energy-crisis,0.2023,0.174,0.101,0.725,"""natural gas"" AND (TTF OR price OR Europe)"
2026-03-11,Al Jazeera English,Which countries have seen the highest petrol prices since the Iran war?,At least 85 countries have reported petrol price rises since the attacks on Iran by the US and Israel on February 28.,https://www.aljazeera.com/news/2026/3/11/which-countries-have-seen-the-highest-petrol-prices-since-the-iran-war,-0.7783,0.0,0.175,0.825,"""natural gas"" AND (TTF OR price OR Europe)"
2026-03-23,Yahoo Entertainment,SolarEdge (SEDG) Soars 38.7% as Jefferies Hikes Price Target,"SolarEdge Technologies Inc. (NASDAQ:SEDG) is one of the 10 Stocks Gaining Momentum Fast. SolarEdge soared by 38.7 percent week-on-week, even hitting a new...",https://finance.yahoo.com/markets/stocks/articles/solaredge-sedg-soars-38-7-061851121.html,0.4215,0.083,0.0,0.917,"""natural gas"" AND (TTF OR price OR Europe)"
2026-03-30,Al Jazeera English,Australia to halve fuel tax as global energy crisis deepens,Prime Minister Anthony Albanese announces the tax cut as the price of crude oil tops $116 a barrel.,https://www.aljazeera.com/news/2026/3/30/australia-to-halve-fuel-tax-as-global-energy-crisis-deepens,-0.6705,0.141,0.258,0.601,"""natural gas"" AND (TTF OR price OR Europe)"
2026-03-11,Bringatrailer.com,20k-Mile 2012 Subaru Impreza WRX STi,"This 2012 Subaru Impreza WRX STi was initially delivered to Gurley Leep Subaru of Mishawaka, Indiana, and it has 20k miles. The car was modified under previous ownership, which included fitting the turbocharged 2.5-liter flat-four with a PERRIN Performance he…",https://bringatrailer.com/listing/2012-subaru-impreza-wrx-sti-36/,0.0,0.0,0.0,1.0,"""carbon"" AND (ETS OR EUA OR ""emission trading"")"
2026-03-17,Bringatrailer.com,30k-Mile 2018 Mercedes-AMG G63,"This 2018 Mercedes-AMG G63 is finished in Magnetite Black Metallic over black Exclusive leather and is powered by a twin-turbocharged 5.5-liter V8 linked with a seven-speed automatic transmission, a dual-range transfer case, and three locking differentials. I…",https://bringatrailer.com/listing/2018-mercedes-benz-g63-12-2/,0.128,0.036,0.0,0.964,"""carbon"" AND (ETS OR EUA OR ""emission trading"")"
2026-03-06,Wattsupwiththat.com,Libs Promise to Cut £600 Energy Bills by £800!,Their ploy is to mislead the public into believing that the pricing system stops people from benefitting from “cheap renewables”. The problem is the diametric opposite.,https://wattsupwiththat.com/2026/03/06/libs-promise-to-cut-600-energy-bills-by-800/,0.2942,0.177,0.149,0.675,"""carbon"" AND (ETS OR EUA OR ""emission trading"")"
2026-03-15,TheJournal.ie,Taoiseach hints at fuel tax cuts but rules out any change to carbon tax,"The carbon tax is a “very important” tax that allows the government to expand supports, says Micheál Martin.",https://www.thejournal.ie/micheal-martin-petrol-and-diesel-cuts-6985204-Mar2026/,0.6808,0.168,0.043,0.788,"""carbon"" AND (ETS OR EUA OR ""emission trading"")"
2026-03-17,Financial Post,EU Carbon Price Emerges as Flashpoint in Push for Cheaper Energy,The future of the European Union’s flagship carbon market is set to become a sticking point in a debate among member states Tuesday on how to reduce energy prices.,https://financialpost.com/pmn/business-pmn/eu-carbon-price-emerges-as-flashpoint-in-push-for-cheaper-energy,0.5574,0.131,0.0,0.869,"""carbon"" AND (ETS OR EUA OR ""emission trading"")"
2026-03-20,Financial Post,EU Leaders Face Multi-Year Energy Squeeze After Qatar Attack,"The European Union is bracing for a protracted energy price shock after Iran crippled a vital Qatar gas plant, raising the prospect of a years-long supply crunch.",https://financialpost.com/pmn/business-pmn/eu-leaders-face-multi-year-energy-squeeze-after-qatar-attack,0.2263,0.194,0.129,0.677,"""carbon"" AND (ETS OR EUA OR ""emission trading"")"
